Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
7640	-14751.6	-14774.2	22.5406	0.130689	0.114146	0.0915214	0.0867761	0.117572	0.0515542	0.1251	0.0601476	0.0887482	0.167832	0.0654773	0.0797923	0.0842277	0.0849932	0.0966107	0.123366	0.120952	0.0982588	0.107728	0.0737679	0.0777878	0.0843667	0.134524	0.0258696	0.0280641	0.0437154	0.0302963	0.024525	0.0376036	0.0174901	0.0233574	0.0466242	0.0343658	0.0207287	0.017219	0.039748	0.0104005	0.0318148	0.0929273	0.0377743	0.0161808	0.0169196	0.0312102	0.223237	0.255429	0.0529424	0.0250792	0.433066	0.0102466	0.240272	0.22833	0.180723	0.350675	2.892773
7650	-14751	-14772.3	21.2832	0.106869	0.101214	0.0962316	0.0982348	0.113648	0.0741557	0.11996	0.088396	0.0874262	0.183432	0.0812214	0.0797923	0.102176	0.0982595	0.122567	0.110159	0.140071	0.0894679	0.0972167	0.0870132	0.0906594	0.0792279	0.143598	0.0264929	0.0244163	0.0602143	0.0400853	0.0259975	0.0467229	0.011712	0.0219907	0.0354441	0.0423928	0.0144193	0.0185376	0.0407814	0.0105894	0.024466	0.0874874	0.0298678	0.0231211	0.0128516	0.0299272	0.225227	0.257706	0.0534144	0.0239383	0.429377	0.010338	0.23782	0.225999	0.178879	0.357303	3.018515
7660	-14758	-14779.3	21.37	0.168075	0.0845284	0.105195	0.0875316	0.0986284	0.0666996	0.118228	0.0727413	0.0895217	0.16996	0.0535463	0.0713968	0.102908	0.105904	0.120021	0.126972	0.14031	0.107221	0.135595	0.0724347	0.0883854	0.0763036	0.171323	0.020705	0.0277945	0.0319369	0.0335341	0.0191866	0.0518731	0.0115037	0.0223432	0.0373397	0.0219177	0.0170552	0.0204065	0.0413947	0.0185619	0.0317623	0.0861587	0.0283833	0.0142412	0.0180913	0.0222195	0.231413	0.264784	0.0548815	0.0245958	0.415727	0.00859862	0.23782	0.225999	0.178879	0.357303	3.009837
7670	-14755	-14776.8	21.8608	0.132637	0.101612	0.105195	0.0851325	0.0860552	0.0690583	0.118228	0.0869069	0.0893441	0.160701	0.0803572	0.0646779	0.088812	0.100001	0.120538	0.113674	0.111223	0.10604	0.135595	0.0790498	0.0854632	0.0782007	0.14239	0.025243	0.02555	0.0463252	0.0308351	0.0180061	0.0552696	0.0147618	0.0248153	0.0341257	0.0360581	0.0149709	0.0372143	0.0540224	0.0273875	0.0167551	0.073137	0.0275811	0.0193738	0.0143679	0.0240598	0.22867	0.261645	0.0600745	0.0294785	0.410798	0.0093341	0.23782	0.225999	0.178879	0.357303	2.960753
7680	-14760.8	-14783	22.1659	0.112508	0.0980922	0.086602	0.0754698	0.0886401	0.0687206	0.120218	0.0804416	0.0678811	0.167793	0.0628636	0.0601738	0.0972797	0.0968755	0.108649	0.125577	0.117059	0.117382	0.109802	0.0841599	0.0977427	0.078116	0.170886	0.023721	0.0261769	0.0389663	0.0319704	0.0315099	0.0344335	0.015433	0.0245571	0.0585121	0.0425664	0.0204019	0.022363	0.0507922	0.0140984	0.0297239	0.0877075	0.031073	0.0121845	0.0227834	0.0183347	0.230708	0.263978	0.0606101	0.0168728	0.41446	0.0133715	0.233789	0.233938	0.162416	0.369856	2.930241
7690	-14755.3	-14777.4	22.0744	0.131326	0.0987959	0.0943935	0.0712927	0.0883301	0.0812886	0.108164	0.0855736	0.0750918	0.157402	0.0741258	0.0708642	0.0840336	0.097078	0.118814	0.125577	0.120765	0.104043	0.113219	0.0660178	0.0896333	0.0695303	0.154057	0.0229232	0.029893	0.0484211	0.0306528	0.0317293	0.0487573	0.0102005	0.0318849	0.0529134	0.0406008	0.0212813	0.0333462	0.0398233	0.0182697	0.0211367	0.0823582	0.0284365	0.0118108	0.0179536	0.0375822	0.229797	0.262935	0.0603708	0.0207542	0.412824	0.0133187	0.238976	0.216942	0.16602	0.378062	2.939389
7700	-14750.4	-14772.3	21.9166	0.110696	0.107046	0.100478	0.0911344	0.0874067	0.0850709	0.11562	0.0761515	0.0822456	0.157402	0.072314	0.0725658	0.0976816	0.0978038	0.0935574	0.122909	0.132488	0.0819089	0.137247	0.0828027	0.0896333	0.0756601	0.163987	0.0167432	0.0327535	0.0352378	0.0373945	0.0195701	0.033592	0.0134369	0.0360769	0.038565	0.0434275	0.0230184	0.0146101	0.048762	0.0277115	0.0281059	0.0728275	0.0238728	0.0216373	0.0143181	0.0397033	0.232313	0.265814	0.0522676	0.0209814	0.417343	0.0112811	0.238976	0.216942	0.16602	0.378062	2.955174
7710	-14749.9	-14771.4	21.4578	0.100167	0.109267	0.0977569	0.0898779	0.0939305	0.0751883	0.114088	0.0761515	0.088007	0.174898	0.0746209	0.0725658	0.0939779	0.105236	0.0939225	0.142517	0.126345	0.100602	0.11703	0.0828027	0.0799534	0.0850503	0.151453	0.0389772	0.027587	0.0521468	0.0412419	0.0162337	0.0443204	0.014497	0.0149816	0.0393364	0.0478942	0.0178323	0.014172	0.0608707	0.017826	0.0249623	0.103248	0.0272206	0.0123842	0.0116387	0.0282723	0.222765	0.282564	0.0561885	0.0275582	0.40019	0.0107343	0.241603	0.219326	0.156852	0.382218	3.001051
7720	-14753.8	-14776.2	22.4025	0.117562	0.111431	0.102316	0.0908267	0.112059	0.0748615	0.137686	0.0659472	0.0622432	0.150712	0.085663	0.0809543	0.0790771	0.0835029	0.107768	0.139374	0.126345	0.106937	0.105159	0.072498	0.0799534	0.0651204	0.151453	0.0297088	0.0352308	0.0501611	0.031348	0.0252805	0.0397807	0.00986928	0.0198057	0.0437999	0.0337504	0.0160357	0.0212026	0.0397567	0.0112801	0.0217459	0.0639851	0.0353196	0.022663	0.0148373	0.0315731	0.231687	0.279558	0.0555906	0.032043	0.395932	0.00519008	0.241603	0.219326	0.156852	0.382218	2.906583
7730	-14752.7	-14774.7	22.0079	0.124353	0.106433	0.103385	0.0931495	0.0843517	0.0762358	0.118721	0.0769641	0.0742713	0.182323	0.0665399	0.0692974	0.0997005	0.109749	0.106278	0.127837	0.130669	0.0900648	0.11093	0.066191	0.0799534	0.0735303	0.157978	0.0349719	0.018939	0.0545282	0.0336934	0.0210074	0.0508804	0.0179391	0.0242833	0.0297751	0.0359581	0.0206102	0.0152994	0.0530386	0.0138517	0.0239321	0.0822146	0.0168426	0.02447	0.017567	0.0273382	0.221369	0.284518	0.0553397	0.0318984	0.394145	0.0127307	0.241603	0.219326	0.156852	0.382218	2.946045
7740	-14755	-14777.2	22.1861	0.124353	0.107412	0.0833678	0.0961706	0.10826	0.0855831	0.116731	0.0775133	0.0900946	0.156179	0.0645613	0.0711808	0.108947	0.0936567	0.104992	0.102993	0.0994214	0.10201	0.0986796	0.0841411	0.0958196	0.070448	0.143057	0.019953	0.0397566	0.0365963	0.0344023	0.0234464	0.0370864	0.0200348	0.0302925	0.0414462	0.046422	0.0159488	0.0291719	0.0504775	0.0166659	0.0209554	0.0658846	0.0377	0.0209392	0.0181573	0.037319	0.220309	0.283156	0.0550749	0.0317458	0.397044	0.0126697	0.243527	0.221073	0.150137	0.385262	2.928227
7750	-14749.2	-14770.2	21.0633	0.136749	0.0904951	0.109138	0.117447	0.0997971	0.072448	0.111264	0.0832738	0.0804974	0.173211	0.0822517	0.0808317	0.101947	0.0982779	0.114694	0.14082	0.137609	0.10612	0.103233	0.0885395	0.0847267	0.0804074	0.152318	0.018221	0.039376	0.0391986	0.0228386	0.0169569	0.0447974	0.0125008	0.0236869	0.0448623	0.0344672	0.0132474	0.0207262	0.0415578	0.023411	0.026316	0.0725646	0.0285091	0.010705	0.021792	0.0386732	0.227762	0.257345	0.0569381	0.0316334	0.415295	0.0110263	0.234312	0.227117	0.167889	0.370683	3.040506
7760	-14749.9	-14771.2	21.346	0.113217	0.107565	0.0921995	0.0969799	0.102058	0.0855188	0.141895	0.0834092	0.0743016	0.166299	0.0718783	0.0819165	0.0980208	0.0948959	0.101103	0.113411	0.13584	0.0999539	0.118547	0.0737957	0.0932715	0.0739266	0.147633	0.0306128	0.037366	0.0506114	0.0447781	0.0234935	0.0291153	0.010079	0.022429	0.0496805	0.0430856	0.0204003	0.0265541	0.0452878	0.0145696	0.0161466	0.0825158	0.0338843	0.00694449	0.0183731	0.0386716	0.229765	0.259608	0.0574388	0.0227132	0.418947	0.0115279	0.23574	0.222262	0.169054	0.372943	3.012235
7770	-14749.9	-14771.4	21.5556	0.112314	0.107565	0.108748	0.0874811	0.104113	0.0784863	0.10714	0.05809	0.0735377	0.17138	0.0701376	0.0883727	0.080686	0.0984501	0.110961	0.127196	0.132677	0.117988	0.120058	0.0783337	0.0932715	0.0709184	0.180524	0.0233587	0.0323006	0.0403443	0.0353002	0.0249283	0.0459507	0.0174984	0.0183739	0.049554	0.0520128	0.0199781	0.0163762	0.0388878	0.00870738	0.0193794	0.0867722	0.0226992	0.0234116	0.00672852	0.0302834	0.230223	0.260126	0.0555583	0.0227585	0.419783	0.0115509	0.233085	0.219758	0.178416	0.368742	2.991275
7780	-14746.2	-14768.5	22.3351	0.125185	0.091718	0.103168	0.0916548	0.0995734	0.0622852	0.103483	0.0707692	0.0872324	0.154764	0.0592304	0.0812585	0.0946005	0.0946543	0.10541	0.125368	0.130562	0.0940817	0.120058	0.0811354	0.0977255	0.0702132	0.160904	0.0192156	0.0415857	0.0466298	0.0468418	0.0238447	0.0367829	0.0131795	0.0137689	0.0334103	0.0330924	0.0119408	0.0209817	0.0362045	0.0118465	0.0349172	0.0893153	0.032218	0.0203709	0.00802957	0.0341141	0.232076	0.254446	0.0560055	0.0229417	0.423162	0.0113682	0.233085	0.219758	0.178416	0.368742	2.913324
7790	-14758.1	-14780.6	22.4648	0.120283	0.0913675	0.0899088	0.0908022	0.0912181	0.0645524	0.112161	0.0808543	0.0853525	0.141289	0.0574497	0.0603337	0.0914442	0.0921311	0.128921	0.129214	0.139089	0.0902592	0.106022	0.0783825	0.105556	0.08068	0.167377	0.018485	0.0241091	0.0470759	0.0439919	0.0171394	0.0309032	0.00706374	0.0212756	0.0434781	0.0479818	0.0161933	0.0272567	0.0491965	0.0133763	0.0212674	0.0610172	0.0321085	0.0299541	0.0168048	0.0370269	0.232505	0.254916	0.0533323	0.022984	0.423943	0.0123205	0.237337	0.223767	0.181671	0.357225	2.900352
7800	-14747.7	-14769.9	22.1452	0.118564	0.100547	0.0899088	0.102946	0.0900016	0.0738199	0.112161	0.0730758	0.0865821	0.17374	0.0676205	0.0722566	0.0790838	0.0963535	0.0874063	0.129605	0.139089	0.118299	0.102374	0.0892675	0.074846	0.0709301	0.167377	0.0300759	0.0301647	0.0525994	0.0335857	0.0158554	0.034226	0.0111827	0.0172547	0.0448705	0.0404256	0.0162478	0.0182014	0.0389664	0.016707	0.0263313	0.0968922	0.0244717	0.017149	0.0126516	0.0386008	0.229535	0.25166	0.0629335	0.0251796	0.418528	0.0121631	0.237337	0.223767	0.181671	0.357225	2.932314
7810	-14755.2	-14777.7	22.4405	0.120505	0.0839109	0.0911396	0.0993379	0.0843271	0.0726928	0.112161	0.0653577	0.0836554	0.177156	0.0654862	0.0788438	0.104817	0.11236	0.0859849	0.115878	0.106123	0.0942457	0.109778	0.0919939	0.0870788	0.0695151	0.148563	0.0242448	0.032109	0.0392948	0.0390928	0.0246659	0.042471	0.0143676	0.0235156	0.0311678	0.0632309	0.0142956	0.01603	0.0502955	0.0315906	0.018939	0.083107	0.0280084	0.0163473	0.0194006	0.029698	0.231948	0.250636	0.0593883	0.024117	0.422927	0.0109839	0.237404	0.223747	0.181655	0.357194	2.902783
7820	-14752.1	-14773.9	21.8236	0.121456	0.0938797	0.100439	0.0792103	0.0925023	0.0562018	0.112161	0.063832	0.0873418	0.192615	0.0606359	0.0788438	0.0959321	0.0925192	0.102189	0.127689	0.15206	0.0969766	0.132554	0.0538475	0.0896642	0.0856156	0.152091	0.0332541	0.0361854	0.0509755	0.0371325	0.0154245	0.0417279	0.0118111	0.0185718	0.0439455	0.0429863	0.0100534	0.0273632	0.0401536	0.0143573	0.0268133	0.0977026	0.0295538	0.0245242	0.0146405	0.0270424	0.23286	0.251622	0.058973	0.0209265	0.424591	0.0110271	0.235772	0.222209	0.180407	0.361612	2.964475
7830	-14760.1	-14781.1	20.9875	0.126352	0.0938797	0.103478	0.0857336	0.0963583	0.0837701	0.115985	0.0893712	0.0871573	0.191463	0.0602655	0.0718595	0.0582864	0.107112	0.0965415	0.114172	0.1468	0.11735	0.118692	0.0812217	0.0829839	0.0768184	0.168819	0.022684	0.027607	0.0523357	0.0377449	0.0250274	0.0445003	0.00998307	0.0167654	0.0592935	0.0348819	0.0138371	0.0297463	0.0394898	0.0100394	0.0257284	0.103289	0.0358366	0.0228355	0.0204402	0.0415454	0.233011	0.251785	0.0590112	0.0202918	0.424866	0.0110343	0.235772	0.222209	0.180407	0.361612	3.048082
7840	-14757.7	-14780.3	22.613	0.101392	0.0887582	0.0876386	0.0904717	0.0963583	0.0747184	0.116072	0.0758432	0.0744312	0.157586	0.075277	0.0816308	0.101943	0.0933978	0.127454	0.104406	0.134678	0.119721	0.122893	0.0738249	0.0774906	0.0767071	0.126726	0.0136624	0.0324173	0.0500768	0.045063	0.0272679	0.0469093	0.00895732	0.0187419	0.0463443	0.0353874	0.012714	0.0111806	0.0407758	0.0140134	0.0190079	0.0874915	0.0197542	0.0180661	0.010225	0.0480576	0.237831	0.256994	0.0602319	0.0207116	0.415773	0.0084588	0.234181	0.22071	0.179189	0.36592	2.885534
7850	-14755.3	-14776.5	21.1465	0.137147	0.116746	0.106945	0.0937673	0.0802949	0.0953253	0.111056	0.0752965	0.0838791	0.172265	0.0822522	0.0877865	0.0972077	0.0817891	0.106155	0.156027	0.14199	0.109091	0.111619	0.0738249	0.0756576	0.0824431	0.127927	0.0150101	0.0272312	0.0577195	0.0409742	0.0215857	0.0368788	0.019402	0.0208611	0.0387211	0.0467313	0.0141244	0.0134025	0.046212	0.0146209	0.0256848	0.0904332	0.0305226	0.0180245	0.0108789	0.0366754	0.225602	0.253546	0.061933	0.0212965	0.427516	0.0101067	0.235801	0.222237	0.173511	0.368451	3.032186
7860	-14755.9	-14778.2	22.2838	0.106905	0.114732	0.107469	0.0876162	0.0875421	0.0664214	0.140704	0.0697398	0.0812428	0.155703	0.0705981	0.0712789	0.0988189	0.0808108	0.112997	0.103501	0.131698	0.094562	0.115529	0.0703991	0.0926989	0.0843406	0.162008	0.0147109	0.034577	0.0549154	0.0320419	0.0250968	0.0362911	0.0106947	0.0272083	0.039751	0.0354599	0.0124638	0.010465	0.050156	0.0142775	0.0296073	0.0669931	0.0400937	0.0307559	0.0161313	0.0294477	0.240971	0.245513	0.0630221	0.0245095	0.4157	0.0102845	0.233973	0.220514	0.172166	0.373347	2.918454
7870	-14753.9	-14776.9	23.0063	0.131373	0.0887701	0.0738952	0.0978923	0.0900606	0.0778555	0.108355	0.0599393	0.0812629	0.155703	0.0753403	0.073469	0.0782667	0.0824307	0.104869	0.135234	0.133705	0.113299	0.106494	0.0765194	0.0921831	0.0844719	0.130046	0.021005	0.0305868	0.0339779	0.0247061	0.0186847	0.0453017	0.0124795	0.0221447	0.0370302	0.0340816	0.0156113	0.0146414	0.0452742	0.0117215	0.0216483	0.104381	0.0216374	0.0159157	0.0115698	0.0523726	0.240944	0.245485	0.0630149	0.0245067	0.415652	0.0103973	0.237049	0.210268	0.174429	0.378254	2.846206
7880	-14758.3	-14780.8	22.524	0.116947	0.103678	0.0898678	0.089531	0.102607	0.0590619	0.0972403	0.0688955	0.0783923	0.187688	0.0927058	0.0652543	0.0897112	0.0828035	0.103878	0.123969	0.133705	0.0955618	0.111313	0.0858575	0.078169	0.0750676	0.148829	0.0188697	0.0423775	0.0537791	0.0368105	0.0241068	0.0485496	0.0148653	0.0324424	0.0437157	0.0294552	0.016974	0.0193799	0.0263648	0.0191768	0.019275	0.0791345	0.0299632	0.00729752	0.0237586	0.0273997	0.241383	0.245933	0.0611165	0.0245514	0.41641	0.0106064	0.233106	0.215018	0.165076	0.3868	2.894428
7890	-14750.4	-14773.6	23.2232	0.116062	0.0903536	0.108082	0.0960195	0.0814858	0.0678233	0.0901775	0.0707082	0.0641019	0.186707	0.0710429	0.0684304	0.0884396	0.0963696	0.0924566	0.11538	0.1245	0.11055	0.115542	0.0786228	0.0753898	0.0707531	0.154481	0.0225297	0.0343103	0.0537791	0.0397722	0.0309683	0.0369463	0.0107356	0.0114581	0.0374127	0.0341027	0.0204936	0.0214316	0.0349581	0.0147111	0.0283626	0.0794598	0.0240676	0.00967199	0.0188636	0.0270002	0.229066	0.288159	0.0508916	0.0273174	0.395162	0.00940466	0.233106	0.215018	0.165076	0.3868	2.824513
7900	-14764.1	-14785.7	21.5966	0.102546	0.0903536	0.128612	0.0890057	0.102027	0.07675	0.115979	0.0638751	0.0816022	0.163655	0.0890733	0.0659478	0.0927113	0.11109	0.110563	0.13374	0.112539	0.0972872	0.0959215	0.0607363	0.0938904	0.0910973	0.194678	0.0151437	0.0281799	0.0433473	0.0371382	0.0160667	0.045717	0.0122856	0.00744853	0.0357008	0.0469458	0.0171089	0.0280673	0.0594974	0.0128142	0.0164401	0.0966007	0.028146	0.0119193	0.0254851	0.0394431	0.221939	0.291285	0.0514437	0.0276138	0.399449	0.00827013	0.233106	0.215018	0.165076	0.3868	2.987177
7910	-14749.2	-14771.2	22.0188	0.126539	0.109957	0.100208	0.097817	0.0937686	0.0912107	0.118128	0.0728111	0.0816022	0.175171	0.0718944	0.0735644	0.0898101	0.0960286	0.101133	0.122928	0.123962	0.0877763	0.103839	0.0583088	0.0873591	0.0888633	0.143794	0.0212419	0.0409563	0.0323293	0.0463883	0.0270799	0.0409441	0.00977752	0.0299857	0.0421102	0.0475228	0.010875	0.0226318	0.043007	0.0104007	0.0206226	0.0791161	0.0250657	0.023121	0.0240363	0.0312616	0.224798	0.284766	0.0512066	0.0279694	0.404593	0.0066669	0.238977	0.220434	0.144045	0.396543	2.944949
7920	-14752.2	-14774.3	22.1412	0.13591	0.101665	0.0841947	0.0804617	0.0910203	0.0804895	0.118128	0.0729374	0.0912268	0.169789	0.0762652	0.057798	0.0898101	0.0957009	0.101514	0.12407	0.12956	0.0934877	0.137171	0.0759162	0.0886346	0.096856	0.127485	0.0372188	0.0362824	0.0253273	0.0319678	0.0276871	0.0328057	0.0173129	0.0172705	0.0384511	0.0443198	0.0168826	0.0330502	0.0341945	0.0119571	0.0220384	0.0818741	0.0243778	0.0179611	0.0219085	0.0397396	0.220393	0.272942	0.0529553	0.0289246	0.41841	0.00637522	0.235935	0.217628	0.154941	0.391496	2.932717
7930	-14749.9	-14772.4	22.4904	0.111442	0.0955416	0.103242	0.100239	0.0967023	0.0668224	0.120001	0.0732141	0.0831777	0.186288	0.055066	0.0749085	0.10742	0.0834894	0.0981593	0.134615	0.12956	0.0731151	0.123641	0.0822178	0.0798888	0.0810129	0.146816	0.0283454	0.0421999	0.0379721	0.0318274	0.0119834	0.0393762	0.0162125	0.0181176	0.0389037	0.0444393	0.0123089	0.0239144	0.0405726	0.0167221	0.0186549	0.0829489	0.0285708	0.00898521	0.015175	0.0339805	0.238809	0.266146	0.0501682	0.0282044	0.407992	0.00868078	0.235935	0.217628	0.154941	0.391496	2.897791
7940	-14752.7	-14775.8	23.0338	0.1115	0.0919965	0.0965647	0.082899	0.0948188	0.0800027	0.114173	0.0865946	0.086442	0.151902	0.0670387	0.0749085	0.0832398	0.0855913	0.122014	0.11883	0.121103	0.0933938	0.115159	0.0656146	0.0872448	0.0791214	0.161603	0.0132387	0.0436062	0.0354259	0.0385278	0.0243985	0.0346561	0.0150206	0.0134281	0.0426371	0.0392617	0.0109281	0.024882	0.0363017	0.0106909	0.0288312	0.085475	0.0207426	0.00433887	0.0135385	0.0357699	0.235796	0.281626	0.0495353	0.0192546	0.402844	0.0109436	0.235728	0.217437	0.154804	0.392032	2.843456
7950	-14758.1	-14781	22.9164	0.116668	0.0940031	0.0937689	0.0851436	0.0812788	0.0695145	0.101641	0.0618044	0.0607071	0.175382	0.0570573	0.0661818	0.0896843	0.080434	0.0978929	0.11883	0.118852	0.0994791	0.114797	0.0682445	0.0941666	0.0859758	0.177261	0.0333337	0.0320593	0.0403868	0.0367794	0.0287551	0.0506535	0.0207848	0.0148325	0.0363295	0.0477424	0.0123586	0.0152125	0.0446957	0.0182695	0.0382383	0.0944333	0.0202725	0.00730876	0.01973	0.0342534	0.23591	0.281763	0.0498234	0.0221529	0.40304	0.0073109	0.235728	0.217437	0.154804	0.392032	2.855197
7960	-14754.1	-14775.4	21.2813	0.120902	0.0955129	0.0876777	0.0967652	0.115409	0.0728914	0.105808	0.0637413	0.0688176	0.167832	0.084848	0.0903297	0.0896843	0.0979713	0.120016	0.14211	0.122454	0.0909156	0.12956	0.074254	0.0805116	0.0796043	0.189382	0.0258602	0.0325209	0.0530664	0.0336425	0.0222318	0.0380024	0.0204794	0.0283131	0.0433219	0.0424745	0.0136118	0.0228415	0.0443158	0.0109402	0.0349644	0.0673209	0.0335899	0.012656	0.0220062	0.0295476	0.229439	0.279464	0.0494169	0.0331124	0.399751	0.00881639	0.235728	0.217437	0.154804	0.392032	3.018704
7970	-14749.3	-14771.5	22.1851	0.129591	0.110508	0.101645	0.102791	0.10729	0.0714515	0.12972	0.0743556	0.0958062	0.167832	0.0629517	0.0684461	0.080152	0.100702	0.103578	0.0970344	0.15447	0.0966093	0.120226	0.0672372	0.081093	0.0732741	0.145024	0.019369	0.0349623	0.0452434	0.0417068	0.0219653	0.0421509	0.0141651	0.0175779	0.0442402	0.0477838	0.00666399	0.0204476	0.0366044	0.00815919	0.0240668	0.0714832	0.0257574	0.0138963	0.022454	0.027837	0.22953	0.279575	0.0494365	0.0304438	0.39991	0.0111041	0.238195	0.220234	0.156425	0.385146	2.928322
7980	-14759.5	-14781	21.4799	0.124941	0.120044	0.0800203	0.105849	0.0973604	0.075551	0.10994	0.0684946	0.0867912	0.172572	0.0756556	0.0706033	0.105351	0.0962666	0.103578	0.112033	0.140743	0.0998742	0.0987178	0.0937443	0.115266	0.081972	0.141857	0.0184921	0.0321838	0.0486968	0.0430652	0.0139285	0.0333178	0.00577099	0.0225667	0.0426803	0.0404667	0.0185444	0.0151075	0.0631675	0.0200944	0.0257067	0.0825626	0.0312879	0.0119459	0.0107533	0.0412739	0.228706	0.278571	0.0515552	0.0303344	0.398474	0.0123603	0.253502	0.215809	0.153282	0.377407	2.998839
7990	-14754.1	-14776.3	22.1138	0.134537	0.0933775	0.110813	0.0801963	0.0911263	0.08375	0.109179	0.0684946	0.0851433	0.172572	0.071748	0.0648882	0.0985801	0.0818592	0.114151	0.125107	0.121601	0.105368	0.109031	0.0787254	0.0864245	0.0843233	0.179673	0.0260497	0.0349064	0.0322342	0.0413124	0.0097696	0.0523578	0.00620484	0.0209388	0.0518926	0.0277909	0.0189534	0.0250162	0.032968	0.0162485	0.0236685	0.0841147	0.0161102	0.0128808	0.0142964	0.0370754	0.223079	0.271158	0.0529465	0.0312381	0.409227	0.0123511	0.240124	0.219676	0.156029	0.384171	2.935458
8000	-14755.4	-14777.4	21.9837	0.144478	0.103225	0.106335	0.0973606	0.101383	0.0695235	0.127558	0.0651309	0.0845796	0.186627	0.0771422	0.0607213	0.11347	0.0915392	0.0887757	0.144772	0.119072	0.100001	0.122473	0.0586648	0.0850654	0.0843233	0.14154	0.0204226	0.0250404	0.0307061	0.0463193	0.0203944	0.0363269	0.0106081	0.0192786	0.0255054	0.0426706	0.0154959	0.0226989	0.046126	0.0249071	0.0213161	0.0811819	0.0270303	0.023472	0.00583473	0.0293662	0.227529	0.271281	0.0529707	0.0312523	0.409414	0.00755265	0.240662	0.220168	0.156378	0.382791	2.948461
8010	-14748.2	-14770.1	21.8985	0.124256	0.103225	0.0914542	0.104019	0.106725	0.0779172	0.132533	0.07937	0.0722338	0.182048	0.0771422	0.0744836	0.0788667	0.0984645	0.100561	0.121026	0.11694	0.0901422	0.108095	0.0871718	0.0989081	0.0801399	0.13671	0.0208333	0.0391738	0.0325631	0.0490761	0.0168155	0.0337395	0.0204334	0.0161645	0.0464634	0.0351708	0.00959828	0.020074	0.0403141	0.0237321	0.0221823	0.0910088	0.0293317	0.0190433	0.00714987	0.0416853	0.226147	0.268346	0.0633393	0.0286962	0.404984	0.00848762	0.241258	0.217634	0.156941	0.384168	2.956985
8020	-14756.4	-14777.5	21.1107	0.11118	0.0886801	0.102112	0.107064	0.102841	0.0706488	0.101966	0.0805614	0.0932094	0.158853	0.0941636	0.0744836	0.10611	0.08803	0.0974635	0.124617	0.149293	0.0985866	0.115805	0.0681857	0.0935361	0.0943051	0.157219	0.0326937	0.0388513	0.0518021	0.0456278	0.0102484	0.0481418	0.0200357	0.0215128	0.0334693	0.0427021	0.0155432	0.019946	0.0469088	0.0182501	0.0308642	0.0821765	0.030596	0.0180267	0.00921952	0.0402356	0.222295	0.281011	0.0622604	0.0280047	0.398085	0.00834305	0.241258	0.217634	0.156941	0.384168	3.035765
8030	-14750.8	-14772.3	21.5162	0.120409	0.10165	0.0890834	0.0898082	0.110962	0.0630389	0.121837	0.0599243	0.081266	0.162763	0.0668243	0.0622375	0.0955178	0.118079	0.107981	0.117873	0.11466	0.106276	0.131415	0.0809871	0.0733094	0.0925536	0.155366	0.0250917	0.0316486	0.0405161	0.051991	0.024498	0.0441976	0.0210721	0.018456	0.0486187	0.0495519	0.0113191	0.0247918	0.0384783	0.0235004	0.0308642	0.0832153	0.0323281	0.0172225	0.0234885	0.0305431	0.223801	0.282916	0.0626823	0.0198749	0.400783	0.00994307	0.242096	0.217393	0.156767	0.383743	2.995215
8040	-14745.7	-14768.4	22.6076	0.11197	0.112926	0.0967288	0.0915034	0.114445	0.0742437	0.100861	0.0698393	0.0832866	0.15172	0.0694698	0.0722538	0.113959	0.0847195	0.106094	0.123139	0.118987	0.102428	0.0966935	0.0791207	0.0794089	0.0736124	0.147933	0.0230982	0.0372219	0.0455439	0.0448564	0.0195808	0.0370722	0.0110381	0.0162009	0.0380475	0.0518546	0.00545345	0.0213883	0.0441501	0.0178095	0.0263166	0.0790875	0.0244876	0.0142904	0.015939	0.0372896	0.223451	0.282472	0.0488451	0.0336097	0.400155	0.0114669	0.242096	0.217393	0.156767	0.383743	2.886069
8050	-14758.5	-14780.3	21.7896	0.130345	0.103373	0.110252	0.120647	0.096343	0.0727247	0.100699	0.0732079	0.0751124	0.152708	0.0656797	0.059602	0.0983593	0.0933303	0.106948	0.12363	0.125798	0.101862	0.132027	0.0798033	0.0922345	0.0752224	0.151618	0.0249453	0.0374229	0.0391646	0.0472419	0.0361286	0.0408116	0.00856964	0.00752076	0.05329	0.0236988	0.0139596	0.0232583	0.0300708	0.0325293	0.0214086	0.091288	0.0183122	0.0166239	0.0176349	0.042465	0.226596	0.286448	0.0495326	0.0280455	0.396296	0.013082	0.238205	0.213899	0.162391	0.385504	2.967873
